0	"Perfect"	Open Input/other anomaly	RS Anomaly	Ic Anomaly	Could not screen. Needs re-mount / re-screen	PCB	LOC	Note	More notes	
w31_r18_c03				9		20190403_A	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	abnormal Ic - strange IbIs - should re-check by hand		
w31_r18_c04			5			20190403_A	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	non-sinusoidal vPhi		
w31_r18_c05	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r18_c06	x					20190403_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r18_c07					x	20190403_A	sent to BICEP 20190422			
w31_r19_c02					x	20190403_A	B08 gel-pak "BICEP NEED RE-SCREEN"			
w31_r19_c03	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r19_c04	x					20190403_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r19_c05	x					20190403_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r19_c06					x	20190403_A	sent to BICEP 20190422			
w31_r19_c07					x	20190403_A	B08 gel-pak "BICEP NEED RE-SCREEN"			
w31_r20_c03					x	20190403_A	sent to BICEP 20190422			
w31_r20_c04			1			20190403_A	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	slightly supressed v-phi		
w31_r20_c05	x					20190403_A	sent to BICEP 20190422			
w31_r20_c06					x	20190403_A	B08 gel-pak "BICEP NEED RE-SCREEN"			
w31_r21_c04							B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r21_c05	x					20190403_A	sent to BICEP 20190422			
w37_r00_c03	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r00_c04	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r00_c05	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r00_c05.0	x					20190913_B	B08 gel-pak "BICEP w37 perfect"			
w37_r00_c06	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r01_c02	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r01_c03	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r01_c04	x					20190828_A	B08 gel-pak "BICEP w37 perfect"	RS10 slightly low Icmax		
w37_r01_c05	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r01_c06	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r01_c07	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r02_c02	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r02_c03					x	20190912_C	B08 gel-pak "BICEP NEED RE-SCREEN"			
w37_r02_c04	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r02_c05	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r02_c06	x					20190828_A	B08 gel-pak "BICEP w37 perfect"	V-Phi on RS06 is slightly atypical		
w37_r02_c07				7		20190912_D	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	low Ic,max		
w37_r03_c02	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r03_c03	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r03_c04	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r03_c05	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r03_c06	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r03_c07	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r04_c01	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r04_c02	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r04_c03	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r04_c04					x	20190912_C	B08 gel-pak "BICEP NEED RE-SCREEN"			
w37_r04_c05	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r04_c06	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r04_c07	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r04_c08		IN04,05				20190828_A	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"			
w37_r05_c01	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r05_c02	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r05_c03	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r05_c04	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r05_c05			7			20190912_C	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	non-sinusoidal v-phi		
w37_r05_c06	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r05_c07	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r05_c08		IN09				20190828_A	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"			
w37_r06_c00	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r06_c01	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r06_c02				0		20190912_C	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	RS00 - slightly high Ics. Probably useable		
w37_r06_c03	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r06_c04				RS04, low Icmax		20190828_A	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"			
w37_r06_c05	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r06_c06	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r06_c07	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r06_c08	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r06_c09	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r07_c00	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r07_c01	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r07_c02	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r07_c03	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r07_c04				RS04		20190828_B	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	RS04 Ic,max is low, but v-phi looks fine		
w37_r07_c05				4		20190828_A	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	RS04 non-sinusoidal v-phi		
w37_r08_c00	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r08_c01	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r08_c02	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r08_c03					x	20190912_C	B08 gel-pak "BICEP NEED RE-SCREEN"			
w37_r08_c04	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r08_c05	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r09_c00	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r09_c01	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r09_c02	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r09_c04	x					20190828_A	B08 gel-pak "BICEP w37 perfect"			
w37_r09_c05	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r10_c01	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r10_c02	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r10_c03	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r10_c04	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r11_c00	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r11_c01	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r11_c02	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r11_c03	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r11_c04	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r11_c05	x					20190828_B	B08 gel-pak "BICEP w37 perfect"			
w37_r12_c00	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r12_c01	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r12_c02	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r12_c03	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r12_c04	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r12_c05				6		20190912_D	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	low Ic,max		
w37_r13_c00	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r13_c01				0		20190912_C	B08 gel-pak "BICEP w37 perfect"	RS00 - slightly high Ics. Probably useable		
w37_r13_c02	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r13_c03	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r13_c04	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r13_c05	x					20190912_D	B08 gel-pak "BICEP w37 perfect"			
w37_r14_c00	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r14_c01	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r14_c02	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r14_c03	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r14_c04			0			20190912_C	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	Ugly v-phi on RS00. May just be telegraph noise.		
w37_r14_c05	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r15_c01	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r15_c02	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r15_c03	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r15_c04	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
w37_r15_c05	x					20190912_C	B08 gel-pak "BICEP w37 perfect"			
